t;c.x;c.y;c.z;t.x;t.y;t.z;n.x;n.y;n.z;b.x;b.y;b.z
2.4;-6.855835224;8.250619154;0;0.280049218;-0.959985643;0;0.959985643;0.280049218;0;0;0;1
2.41;-6.853034204;8.241019451;0;0.280154699;-0.959954866;0;0.959954866;0.280154699;0;0;0;1
2.42;-6.850232129;8.231420056;0;0.280260297;-0.959924042;0;0.959924042;0.280260297;0;0;0;1
2.43;-6.847428998;8.22182097;0;0.280366011;-0.959893171;0;0.959893171;0.280366011;0;0;0;1
2.44;-6.844624809;8.212222193;0;0.280471841;-0.959862254;0;0.959862254;0.280471841;0;0;0;1
2.45;-6.841819561;8.202623725;0;0.280577787;-0.95983129;0;0.95983129;0.280577787;0;0;0;1
2.46;-6.839013253;8.193025568;0;0.280683849;-0.95980028;0;0.95980028;0.280683849;0;0;0;1
2.47;-6.836205883;8.18342772;0;0.28079003;-0.959769222;0;0.959769222;0.28079003;0;0;0;1
2.48;-6.833397452;8.173830183;0;0.280896327;-0.959738117;0;0.959738117;0.280896327;0;0;0;1
2.49;-6.830587956;8.164232958;0;0.281002742;-0.959706965;0;0.959706965;0.281002742;0;0;0;1
2.5;-6.827777397;8.154636044;0;0.281109273;-0.959675766;0;0.959675766;0.281109273;0;0;0;1
2.51;-6.824965771;8.145039443;0;0.281215922;-0.95964452;0;0.95964452;0.281215922;0;0;0;1
2.52;-6.822153078;8.135443154;0;0.281322691;-0.959613226;0;0.959613226;0.281322691;0;0;0;1
